per;mes;orden;hogar;p3271;p6040;p6050;p6083;p3042;inglabo;rama2d_r4
2024;12;1;1;1;50;1;2;3;0;1
2024;12;2;1;2;49;2;2;4;;
2024;12;3;1;2;15;3;1;5;;
2024;12;4;1;1;4;3;1;2;;
2024;12;1;1;2;74;1;3;3;;
2024;12;2;1;2;32;3;1;3;600000;1
2024;12;3;1;1;15;8;1;4;;
2024;12;4;1;2;14;8;2;4;;
2024;12;1;1;1;63;1;3;3;1300000;5
2024;12;2;1;2;56;2;2;3;;
2024;12;1;1;2;37;1;2;6;;
2024;12;2;1;1;31;2;2;3;2800000;5
2024;12;3;1;2;17;3;1;6;;
2024;12;4;1;1;14;3;1;5;;
2024;12;1;1;1;33;1;2;3;1300000;5
2024;12;2;1;2;32;2;2;5;;
2024;12;3;1;1;11;3;1;4;;
2024;12;4;1;2;7;3;1;3;;
2024;12;1;1;2;42;1;2;8;1300000;84
2024;12;1;1;1;36;1;2;4;1300000;5
2024;12;2;1;2;35;2;2;3;1000000;1
2024;12;3;1;2;16;3;1;5;;
2024;12;4;1;1;12;3;1;4;;
2024;12;1;1;1;65;1;3;3;;
2024;12;2;1;2;42;2;2;1;;
2024;12;3;1;2;9;3;1;3;;
2024;12;4;1;1;7;3;1;2;;
2024;12;1;1;2;60;1;3;3;;
2024;12;2;1;2;31;3;1;5;400000;1
2024;12;3;1;1;36;7;2;3;1000000;5
2024;12;4;1;1;13;8;1;4;;
2024;12;5;1;1;6;8;1;2;;
2024;12;1;1;1;56;1;3;5;;
2024;12;1;1;2;65;1;3;3;;
2024;12;1;1;2;34;1;3;5;600000;1
2024;12;2;1;1;8;3;1;3;;
2024;12;3;1;2;4;3;1;2;;
2024;12;1;1;1;37;1;2;3;1200000;1
2024;12;1;1;2;75;1;3;1;400000;1
2024;12;1;1;1;84;1;3;3;;
2024;12;2;1;2;81;2;3;3;;
2024;12;1;1;1;45;1;2;3;1200000;1
2024;12;2;1;2;46;2;2;3;;
2024;12;3;1;1;16;3;1;5;;
2024;12;4;1;1;13;3;1;5;;
2024;12;1;1;2;54;1;3;3;;
2024;12;2;1;1;67;2;2;3;;
2024;12;3;1;1;19;3;1;6;;
2024;12;1;1;1;51;1;3;3;1000000;84
2024;12;2;1;2;50;2;3;3;350000;1
2024;12;1;1;1;83;1;3;3;350000;1
2024;12;1;1;2;54;1;2;1;100000;56
2024;12;2;1;1;16;3;1;6;;
2024;12;3;1;1;14;8;2;4;;
2024;12;1;1;1;47;1;3;3;1000000;1
2024;12;2;1;2;50;2;3;3;;
2024;12;3;1;2;18;3;1;9;300000;56
2024;12;4;1;2;17;3;1;5;;
2024;12;5;1;2;6;3;1;3;;
2024;12;1;1;2;73;1;3;3;;
2024;12;2;1;1;36;3;1;5;900000;41
2024;12;1;1;2;58;1;3;5;;
2024;12;2;1;2;52;6;3;8;;
2024;12;1;1;1;35;1;2;5;400000;1
2024;12;1;1;1;74;1;3;1;500000;1
2024;12;2;1;2;74;2;2;1;;
2024;12;1;1;1;69;1;3;3;;
2024;12;2;1;2;66;2;3;3;;
2024;12;1;1;1;72;1;3;3;90000;1
2024;12;2;1;2;60;2;3;3;;
2024;12;1;1;1;54;1;3;3;800000;41
2024;12;2;1;2;43;2;2;3;;
2024;12;3;1;2;19;3;1;9;;
2024;12;4;1;1;17;3;1;6;;
2024;12;1;1;1;33;1;3;6;1500000;5
2024;12;2;1;2;26;2;2;6;;
2024;12;3;1;1;9;3;1;3;;
2024;12;4;1;2;0;3;1;;;
2024;12;1;1;1;40;1;2;3;1300000;5
2024;12;2;1;2;40;2;2;3;;
2024;12;3;1;1;19;3;1;5;;
2024;12;4;1;1;16;3;1;8;;
2024;12;1;1;1;68;1;3;3;1500000;1
2024;12;2;1;2;60;2;3;3;;47
2024;12;3;1;1;33;3;1;10;4500000;84
2024;12;1;1;1;39;1;3;4;;
2024;12;2;1;2;35;2;2;4;;
2024;12;3;1;1;16;3;1;4;;
2024;12;4;1;2;0;3;1;;;
2024;12;1;1;1;39;1;2;3;1000000;5
2024;12;2;1;2;35;2;2;3;;
2024;12;3;1;2;15;3;1;4;;
2024;12;4;1;2;4;3;1;1;;
2024;12;1;1;1;38;1;3;3;900000;1
2024;12;2;1;2;26;2;2;6;700000;1
2024;12;3;1;1;4;3;1;1;;
2024;12;4;1;1;1;3;1;;;
2024;12;1;1;2;44;1;3;5;550000;1
2024;12;2;1;1;16;3;1;5;;
2024;12;3;1;1;13;3;1;4;;
2024;12;1;1;1;40;1;2;6;1000000;5
2024;12;2;1;2;38;2;3;3;350000;1
2024;12;3;1;1;18;3;1;6;;
2024;12;4;1;1;11;3;1;3;;
2024;12;1;1;1;66;1;3;3;;
2024;12;2;1;2;62;2;3;3;;
2024;12;1;1;1;78;1;3;3;;
2024;12;2;1;2;49;3;3;1;;
2024;12;1;1;1;70;1;3;3;;
2024;12;1;1;2;74;1;3;3;;
2024;12;2;1;1;83;2;3;3;;
2024;12;1;1;1;74;1;3;1;;
2024;12;1;1;1;28;1;3;5;1300000;5
2024;12;1;1;1;43;1;3;5;700000;1
2024;12;2;1;2;47;2;2;5;;
2024;12;3;1;1;12;3;1;4;;
2024;12;1;1;2;66;1;3;3;;
2024;12;2;1;2;28;3;1;5;1300000;88
2024;12;3;1;1;34;7;2;3;1300000;5
2024;12;4;1;2;9;8;1;3;;
2024;12;5;1;1;4;8;1;2;;
2024;12;1;1;1;84;1;3;3;;
2024;12;2;1;2;78;2;3;4;;
2024;12;1;1;1;53;1;2;3;1300000;5
2024;12;1;1;1;60;1;2;10;1500000;35
2024;12;1;1;2;78;1;3;5;;
2024;12;1;1;1;51;1;2;10;5200000;85
2024;12;2;1;2;44;2;2;5;;
2024;12;3;1;1;25;3;1;10;;
2024;12;4;1;1;18;3;1;10;;
2024;12;1;1;1;24;1;3;8;1300000;55
2024;12;2;1;1;19;6;3;5;;
2024;12;1;1;1;51;1;2;10;;
2024;12;2;1;2;46;2;2;10;;
2024;12;3;1;2;17;3;1;5;;
2024;12;4;1;1;10;3;1;3;;
2024;12;1;1;2;44;1;2;5;1000000;97
2024;12;1;1;2;93;1;3;3;;
2024;12;2;1;2;60;3;1;11;;
2024;12;3;1;2;96;6;3;3;;
2024;12;1;1;1;41;1;2;6;2538000;24
2024;12;2;1;2;43;2;2;10;;
2024;12;3;1;2;20;3;1;10;160000;47
2024;12;1;1;1;44;1;2;10;2500000;36
2024;12;2;1;2;38;2;2;10;;
2024;12;3;1;2;10;3;1;3;;
2024;12;4;1;2;7;3;1;3;;
2024;12;1;1;1;47;1;2;5;1500000;49
2024;12;2;1;2;43;2;2;8;;
2024;12;3;1;2;22;3;1;10;300000;85
2024;12;4;1;1;17;3;1;5;;
2024;12;5;1;2;5;3;1;2;;
2024;12;1;1;2;63;1;3;10;;
2024;12;1;1;1;60;1;3;5;;
2024;12;2;1;2;55;2;3;3;1300000;85
2024;12;3;1;1;27;3;1;10;;
2024;12;4;1;1;22;3;1;10;;
2024;12;5;1;1;15;3;1;5;;
2024;12;1;1;1;52;1;2;3;1500000;56
2024;12;2;1;2;54;2;2;10;600000;47
2024;12;1;1;2;37;1;2;10;1950000;85
2024;12;2;1;1;16;3;1;5;;
2024;12;1;1;1;69;1;3;3;;
2024;12;2;1;2;66;2;2;3;;
2024;12;3;1;1;50;3;1;5;;
2024;12;1;1;2;94;1;3;3;;
2024;12;2;1;2;27;10;2;10;2300000;97
2024;12;1;1;1;58;1;2;3;1300000;97
2024;12;2;1;2;63;2;2;4;;
2024;12;1;1;1;79;1;3;3;;
2024;12;2;1;2;73;2;3;3;;
2024;12;3;1;2;45;3;1;8;;
2024;12;4;1;1;19;8;1;5;;
2024;12;5;1;1;14;8;1;4;;
2024;12;1;1;1;66;1;2;3;;
2024;12;2;1;2;59;2;2;3;;
2024;12;3;1;2;34;3;1;5;540000;56
2024;12;4;1;1;44;7;3;5;1000000;1
2024;12;5;1;2;13;8;1;4;;
2024;12;6;1;2;8;8;1;3;;
2024;12;7;1;2;4;8;1;2;;
2024;12;8;1;1;8;8;2;3;;
2024;12;9;1;2;2;8;2;;;
2024;12;1;1;2;67;1;3;5;;
2024;12;1;1;1;77;1;3;3;;
2024;12;2;1;1;43;3;3;6;800000;1
2024;12;1;1;2;38;1;2;12;9500000;70
2024;12;2;1;1;38;2;2;8;1000000;15
2024;12;1;1;1;71;1;3;1;;
2024;12;2;1;2;76;2;3;3;;
2024;12;1;1;1;67;1;3;5;;
2024;12;2;1;2;62;2;3;5;;
2024;12;3;1;2;17;8;2;5;;
2024;12;1;1;2;45;1;2;10;7000000;85
2024;12;2;1;1;20;3;1;10;;
2024;12;3;1;1;11;3;1;4;;
2024;12;1;1;2;37;1;2;4;1300000;56
2024;12;2;1;1;18;3;1;10;;
2024;12;3;1;2;17;3;1;6;600000;56
2024;12;4;1;1;16;3;1;4;;
2024;12;1;1;1;42;1;2;8;1800000;84
2024;12;2;1;2;30;2;2;5;0;96
2024;12;3;1;1;6;3;1;3;;
2024;12;4;1;1;1;3;1;;;
2024;12;1;1;2;33;1;3;4;;
2024;12;2;1;1;14;3;1;4;;
2024;12;3;1;2;7;3;1;3;;
2024;12;1;1;1;23;1;2;5;1000000;42
2024;12;2;1;2;18;2;2;4;;
2024;12;3;1;1;0;3;1;;;
2024;12;4;1;2;16;9;2;4;;
2024;12;1;1;2;41;1;2;5;850000;97
2024;12;2;1;2;19;3;1;8;;
2024;12;3;1;2;16;3;1;4;;
2024;12;4;1;1;14;3;1;4;;
2024;12;1;1;1;48;1;2;3;1800000;1
2024;12;2;1;2;33;2;2;3;1300000;1
2024;12;3;1;1;17;3;1;5;500000;45
2024;12;4;1;1;15;3;1;4;100000;1
2024;12;1;1;1;36;1;1;10;2600000;84
2024;12;2;1;2;57;4;3;4;;
2024;12;3;1;1;59;4;3;4;2100000;85
2024;12;4;1;2;32;6;1;11;2100000;86
2024;12;1;1;1;39;1;1;5;;
2024;12;2;1;2;65;4;3;3;;
2024;12;3;1;1;53;9;2;5;;
2024;12;1;1;1;90;1;3;3;;
2024;12;1;1;1;26;1;2;5;1050000;1
2024;12;2;1;2;21;2;2;5;;
2024;12;3;1;1;3;3;1;1;;
2024;12;4;1;1;2;3;1;;;
2024;12;5;1;1;19;9;2;4;800000;1
2024;12;6;1;1;17;9;2;4;500000;1
2024;12;1;1;1;39;1;3;4;600000;1
2024;12;2;1;2;35;2;2;5;;
2024;12;3;1;2;15;3;1;5;;
2024;12;4;1;1;5;3;1;1;;
2024;12;1;1;2;41;1;1;5;;
2024;12;2;1;1;14;3;1;4;;
2024;12;3;1;1;11;3;1;4;;
2024;12;4;1;1;66;4;3;3;;
2024;12;5;1;2;62;4;2;3;;
2024;12;1;1;2;78;1;2;5;;
2024;12;1;1;1;33;1;2;9;1800000;51
2024;12;2;1;2;33;2;2;9;1300000;47
2024;12;3;1;1;15;3;1;4;;
2024;12;4;1;2;12;3;1;4;;
2024;12;1;1;2;40;1;2;5;1750000;86
2024;12;2;1;2;12;3;1;4;;
2024;12;3;1;1;4;3;1;1;;
2024;12;1;1;1;74;1;2;3;;
2024;12;2;1;2;77;2;3;1;;
2024;12;3;1;1;44;3;1;3;580000;42
2024;12;1;1;2;37;1;2;3;610000;56
2024;12;2;1;1;22;3;1;4;;
2024;12;3;1;2;17;3;1;4;;
2024;12;1;1;1;53;1;2;5;1320000;1
2024;12;2;1;2;47;2;2;5;1650000;56
2024;12;3;1;1;29;3;1;11;1730000;56
2024;12;4;1;2;24;3;1;10;;
2024;12;1;1;1;79;1;3;10;;
2024;12;1;1;1;51;1;2;11;3500000;62
2024;12;2;1;2;57;2;2;9;2200000;13
2024;12;3;1;1;25;3;1;9;2400000;62
2024;12;4;1;2;30;3;1;10;2600000;51
2024;12;5;1;2;10;8;1;3;;
2024;12;1;1;2;57;1;2;12;4200000;84
2024;12;2;1;1;24;3;1;10;1680000;56
2024;12;3;1;2;29;3;1;9;2300000;86
2024;12;4;1;1;5;8;1;2;;
2024;12;5;1;2;36;3;1;10;2200000;86
2024;12;6;1;2;8;8;1;3;;
2024;12;7;1;2;7;8;1;3;;
2024;12;1;1;1;34;1;2;10;3000000;56
2024;12;1;1;1;45;1;2;5;1300000;53
2024;12;2;1;2;47;2;3;5;1300000;47
2024;12;3;1;1;26;3;1;10;2354000;53
2024;12;1;1;2;67;1;3;5;;
2024;12;2;1;1;24;3;1;5;1300000;56
2024;12;1;1;1;61;1;2;5;;
2024;12;2;1;2;51;2;3;5;;
2024;12;1;1;1;35;1;1;5;1300000;47
2024;12;2;1;2;42;2;2;5;1680000;86
2024;12;3;1;2;72;4;3;3;;
2024;12;1;1;1;46;1;2;9;2000000;31
2024;12;2;1;2;42;2;2;12;6000000;33
2024;12;1;1;2;72;1;3;3;;
2024;12;2;1;1;33;3;1;9;3300000;46
2024;12;3;1;2;27;7;2;9;2400000;46
2024;12;4;1;1;8;8;1;3;;
2024;12;5;1;1;5;8;1;2;;
2024;12;1;1;1;66;1;3;11;;
2024;12;2;1;2;51;2;3;10;1500000;74
2024;12;1;1;1;54;1;3;12;6800000;41
2024;12;2;1;1;64;6;3;5;3500000;49
2024;12;1;1;1;59;1;3;5;1300000;47
2024;12;2;1;2;64;2;3;3;;47
2024;12;3;1;2;34;3;1;8;1300000;47
2024;12;4;1;2;29;3;1;10;1300000;11
2024;12;1;1;1;57;1;2;5;1200000;31
2024;12;2;1;2;58;2;2;5;;
2024;12;3;1;2;30;3;1;5;1300000;65
2024;12;4;1;2;32;3;1;9;1300000;56
2024;12;5;1;1;9;8;1;3;;
2024;12;6;1;2;6;8;1;2;;
2024;12;1;1;2;86;1;3;3;;
2024;12;2;1;2;61;9;2;5;;
2024;12;3;1;1;73;9;3;3;;
2024;12;1;1;2;41;1;2;10;3500000;47
2024;12;1;1;1;43;1;2;10;4800000;73
2024;12;2;1;2;33;2;2;10;;
2024;12;3;1;1;4;3;1;2;;
2024;12;1;1;2;62;1;2;9;;
2024;12;1;1;2;42;1;2;10;5180000;65
2024;12;2;1;2;21;3;1;10;;
2024;12;1;1;1;68;1;3;10;;
2024;12;2;1;2;71;2;3;5;;
2024;12;3;1;1;38;3;1;10;;
2024;12;1;1;2;39;1;2;8;1300000;71
2024;12;1;1;1;27;1;2;10;4500000;65
2024;12;2;1;2;26;2;2;10;4000000;1
2024;12;1;1;2;43;1;2;5;1300000;56
2024;12;2;1;2;15;3;1;4;;
2024;12;1;1;1;56;1;3;4;1300000;81
2024;12;2;1;2;58;2;3;3;1300000;81
2024;12;1;1;1;80;1;3;3;;
2024;12;2;1;2;75;2;3;3;;
2024;12;1;1;2;62;1;2;3;;
2024;12;2;1;1;44;3;1;9;2750000;22
2024;12;1;2;1;46;1;2;9;2600000;35
2024;12;2;2;2;35;2;2;10;4800000;74
2024;12;3;2;2;0;3;1;;;
2024;12;1;1;2;45;1;2;3;;
2024;12;2;1;1;17;3;1;5;;
2024;12;1;1;1;38;1;2;3;2400000;41
2024;12;2;1;2;36;2;3;3;1750000;97
2024;12;3;1;2;18;3;1;9;;
2024;12;4;1;2;17;13;2;9;;
2024;12;1;1;1;74;1;3;3;;
2024;12;2;1;2;69;2;3;3;30000;10
2024;12;1;1;1;39;1;2;3;2100000;47
2024;12;2;1;2;51;2;2;3;;
2024;12;3;1;1;19;3;1;4;1800000;56
2024;12;4;1;2;16;3;1;4;;
2024;12;1;1;1;37;1;2;10;2000000;85
2024;12;1;1;2;56;1;2;5;;
2024;12;2;1;2;28;3;1;10;;
2024;12;1;1;1;33;1;2;5;2230000;56
2024;12;2;1;2;32;2;2;5;1770000;56
2024;12;3;1;2;14;3;1;4;;
2024;12;4;1;1;9;3;1;3;;
2024;12;1;1;1;35;1;2;5;2800000;45
2024;12;1;1;1;65;1;3;3;;
2024;12;2;1;2;70;2;2;3;;
2024;12;3;1;1;39;3;1;5;1300000;22
2024;12;1;1;1;62;1;3;3;;
2024;12;2;1;1;66;6;3;4;;
2024;12;1;1;1;55;1;3;4;1300000;22
2024;12;2;1;2;60;2;3;10;;
2024;12;3;1;2;25;3;1;10;1300000;73
2024;12;4;1;2;21;3;1;10;;
2024;12;1;1;2;71;1;3;5;;
2024;12;2;1;2;30;9;2;10;1300000;64
2024;12;1;1;2;85;1;3;3;;
2024;12;2;1;2;77;6;3;3;;
2024;12;3;1;2;69;6;3;3;;
2024;12;1;1;1;69;1;3;10;;
2024;12;2;1;2;53;2;3;5;1000000;14
2024;12;3;1;2;28;3;1;10;;
2024;12;4;1;1;24;3;1;5;1300000;42
2024;12;5;1;2;95;9;3;1;;
2024;12;1;1;1;60;1;3;10;5300000;84
2024;12;2;1;2;50;2;3;9;;
2024;12;3;1;1;26;3;1;11;;
2024;12;4;1;1;17;3;1;10;;
2024;12;1;1;2;59;1;3;8;3165000;86
2024;12;2;1;2;35;3;1;10;3800000;86
2024;12;3;1;2;7;8;1;3;;
2024;12;4;1;1;23;3;1;10;;
2024;12;1;1;1;66;1;3;10;;
2024;12;1;1;2;73;1;2;11;;
2024;12;2;1;1;79;2;3;5;;
2024;12;1;1;1;69;1;3;11;;
2024;12;1;1;2;62;1;2;10;;
2024;12;2;1;2;28;3;1;10;4700000;73
2024;12;3;1;2;23;3;1;10;1400000;47
2024;12;1;1;1;38;1;2;5;1500000;49
2024;12;2;1;2;37;2;2;10;5800000;94
2024;12;3;1;1;4;3;1;1;;
2024;12;1;1;2;70;1;3;3;;
2024;12;2;1;1;52;3;1;3;1000000;49
2024;12;3;1;2;40;3;1;5;1300000;82
2024;12;4;1;2;15;8;1;4;;
2024;12;5;1;2;14;8;1;4;;
2024;12;1;1;1;58;1;3;3;1500000;47
2024;12;2;1;2;51;2;2;3;;
2024;12;3;1;1;31;3;1;4;1600000;11
2024;12;1;1;2;77;1;3;3;;
2024;12;2;1;1;79;2;3;3;;
2024;12;1;1;2;62;1;3;10;;
2024;12;2;1;2;28;3;1;10;3000000;73
2024;12;1;1;1;66;1;3;3;;
2024;12;2;1;2;37;3;2;5;4000000;7
2024;12;1;1;2;33;1;2;10;2590000;42
2024;12;2;1;2;7;3;1;3;;
2024;12;1;1;2;76;1;3;3;;
2024;12;1;1;2;75;1;3;3;;
2024;12;2;1;2;27;8;2;11;;
2024;12;3;1;1;76;6;3;1;;
2024;12;1;1;1;34;1;2;10;2800000;82
2024;12;1;1;2;30;1;3;11;8000000;69
2024;12;1;1;2;48;1;3;9;1600000;86
2024;12;2;1;2;9;3;1;3;;
