per;mes;orden;hogar;p3271;p6040;p6050;p6083;p3042;inglabo;rama2d_r4
2024;12;8;1;1;36;3;3;5.0;200000.0;49.0
2024;12;1;1;1;36;1;2;8.0;1600000.0;80.0
2024;12;3;1;2;23;3;1;8.0;72000.0;56.0
2024;12;2;1;1;34;2;2;5.0;800000.0;49.0
2024;12;1;1;1;70;1;3;4.0;590000.0;41.0
2024;12;1;1;2;45;1;2;11.0;1000000.0;47.0
2024;12;2;1;2;49;2;2;5.0;1300000.0;97.0
2024;12;1;1;1;61;1;3;9.0;3000000.0;41.0
2024;12;5;1;1;27;3;1;4.0;1300000.0;1.0
2024;12;2;1;2;31;3;1;5.0;900000.0;56.0
2024;12;1;1;2;37;1;1;10.0;640000.0;47.0
2024;12;1;1;1;54;1;3;3.0;2150000.0;1.0
2024;12;1;1;2;36;1;2;4.0;320000.0;81.0
2024;12;1;1;2;27;1;2;10.0;2800000.0;86.0
2024;12;2;1;1;34;2;2;3.0;1000000.0;41.0
2024;12;1;1;1;54;1;3;5.0;1800000.0;84.0
2024;12;2;1;1;27;2;2;8.0;1300000.0;47.0
2024;12;1;1;1;42;1;2;3.0;1200000.0;3.0
2024;12;2;1;2;28;3;1;10.0;1300000.0;85.0
2024;12;1;1;1;38;1;2;5.0;1300000.0;25.0
2024;12;1;1;1;59;1;2;6.0;3000000.0;68.0
2024;12;3;1;1;24;3;1;10.0;2500000.0;73.0
2024;12;3;1;1;43;3;1;5.0;950000.0;73.0
2024;12;2;1;1;36;2;2;12.0;18000000.0;73.0
2024;12;2;1;1;31;2;2;4.0;1100000.0;56.0
2024;12;1;1;2;33;1;2;5.0;600000.0;47.0
2024;12;1;1;2;38;1;2;3.0;1500000.0;56.0
2024;12;1;1;2;46;1;3;4.0;800000.0;97.0
2024;12;1;1;1;63;1;3;3.0;700000.0;47.0
2024;12;2;1;1;58;3;1;4.0;1300000.0;81.0
2024;12;2;1;2;36;2;2;5.0;1300000.0;47.0
2024;12;2;1;2;16;2;2;3.0;470000.0;97.0
2024;12;2;1;1;40;2;2;4.0;700000.0;49.0
2024;12;3;1;2;21;3;1;5.0;1300000.0;69.0
2024;12;2;1;1;35;3;1;10.0;800000.0;49.0
2024;12;1;1;2;45;1;2;11.0;8536104.0;84.0
2024;12;2;1;2;31;2;2;10.0;2700000.0;42.0
2024;12;2;1;1;25;2;2;3.0;800000.0;25.0
2024;12;2;1;1;26;3;1;8.0;1400000.0;86.0
