directorio,secuencia_p,orden,hogar,regis,per,p3271,p6040,p3042,inglabo,id_registro_original
8055192,1,1,1,10,2024,2,25,10.0,1300000.0,38909
8078263,1,2,1,10,2024,2,37,3.0,350000.0,48013
8046716,1,1,1,10,2024,2,49,5.0,2000000.0,20270
8041918,1,1,1,10,2024,1,33,10.0,1950000.0,8602
8039439,1,1,1,10,2024,1,42,8.0,1300000.0,3047
8048927,1,1,1,10,2024,2,22,5.0,2200000.0,24604
8044446,1,1,1,10,2024,1,60,5.0,1300000.0,14566
8083057,1,1,1,10,2024,1,35,10.0,500000.0,58224
8049699,1,1,1,10,2024,1,27,3.0,700000.0,26107
8048818,1,1,1,10,2024,1,64,5.0,800000.0,24349
8041454,1,3,1,10,2024,2,26,5.0,1300000.0,7601
8038878,1,5,1,10,2024,2,34,8.0,1300000.0,1709
8053213,1,1,1,10,2024,1,28,5.0,1500000.0,34620
8045221,1,2,1,10,2024,2,35,10.0,500000.0,16682
8079525,1,4,1,10,2024,2,25,5.0,1300000.0,50921
8045484,1,1,1,10,2024,2,40,5.0,500000.0,17406
8038262,1,1,1,10,2024,1,42,8.0,1800000.0,201
8086661,1,2,1,10,2024,2,55,5.0,3500000.0,64269
8081398,1,2,1,10,2024,1,31,5.0,1300000.0,55055
8078139,1,2,1,10,2024,2,23,10.0,980000.0,47709
8085694,1,3,1,10,2024,1,18,4.0,1000000.0,62653
8038676,1,3,1,10,2024,2,58,4.0,800000.0,1167
8081232,1,2,1,10,2024,2,20,6.0,1800000.0,54641
8052033,1,1,1,10,2024,1,41,5.0,1600000.0,31675
8043835,1,1,1,10,2024,1,55,3.0,80000.0,13014
8041059,1,3,1,10,2024,2,38,12.0,5000000.0,6696
8040906,1,1,1,10,2024,2,46,3.0,1500000.0,6322
8083712,1,1,1,10,2024,2,39,5.0,1300000.0,59598
8055332,1,4,1,10,2024,1,19,9.0,975000.0,39193
8076850,1,1,1,10,2024,1,33,12.0,3800000.0,44824
8052637,1,1,1,10,2024,1,55,4.0,1700000.0,33304
8038538,1,2,1,10,2024,2,22,6.0,1000000.0,870
8085879,1,2,1,10,2024,2,51,3.0,300000.0,62988
8082721,1,1,1,10,2024,1,51,3.0,1400000.0,57401
8045568,1,3,1,10,2024,1,25,9.0,1700000.0,17637
8077465,1,2,1,10,2024,2,21,5.0,900000.0,46301
8077030,1,1,1,10,2024,1,61,3.0,800000.0,45209
8045686,1,4,1,10,2024,1,31,8.0,1462000.0,17930
8054493,1,1,1,10,2024,1,31,10.0,3300000.0,37392
8045214,1,1,1,10,2024,1,30,10.0,600000.0,16660
8056240,1,1,1,10,2024,1,39,4.0,1200000.0,40893
8079049,1,1,1,10,2024,2,23,10.0,2000000.0,49762
8048830,1,2,1,10,2024,1,65,3.0,1300000.0,24390
8044760,1,3,1,10,2024,2,47,10.0,2600000.0,15408
8055293,1,1,1,10,2024,1,43,5.0,1500000.0,39111
8049977,1,2,1,10,2024,2,43,3.0,700000.0,26797
8082738,1,4,1,10,2024,1,48,10.0,2500000.0,57461
8080951,1,3,1,10,2024,1,36,4.0,1562000.0,54094
8041625,1,1,1,10,2024,2,47,9.0,600000.0,7995
8053817,1,4,1,10,2024,1,29,10.0,4000000.0,35943
8038610,1,1,1,10,2024,2,58,8.0,500000.0,992
8076558,1,2,1,10,2024,2,27,5.0,1600000.0,44148
8055449,1,1,1,10,2024,1,48,11.0,10000000.0,39396
8045184,1,1,1,10,2024,2,37,12.0,6000000.0,16573
8083988,1,1,1,10,2024,1,51,3.0,1000000.0,60164
8044483,1,1,1,10,2024,1,48,3.0,1300000.0,14665
8048839,1,1,1,10,2024,2,41,5.0,900000.0,24405
8084024,1,7,1,10,2024,2,24,5.0,600000.0,60265
8076594,1,4,1,10,2024,1,19,8.0,1500000.0,44231
8054488,1,2,1,10,2024,2,27,4.0,90000.0,37379
8042714,1,1,1,10,2024,2,53,3.0,300000.0,10382
8083979,1,2,1,10,2024,1,37,5.0,3200000.0,60128
8038867,1,1,1,10,2024,1,34,10.0,1300000.0,1686
8040971,1,1,1,10,2024,2,43,5.0,1500000.0,6473
8045658,1,1,1,10,2024,1,35,5.0,1300000.0,17863
8046396,1,1,1,10,2024,1,51,5.0,2000000.0,19452
8046507,1,4,1,10,2024,2,56,3.0,400000.0,19712
8076407,1,1,1,10,2024,1,47,3.0,1500000.0,43779
8044373,1,1,1,10,2024,1,29,5.0,537000.0,14375
8047184,1,3,1,10,2024,1,32,10.0,5000000.0,21133
8038964,1,1,1,10,2024,1,43,9.0,1600000.0,1928
8051920,1,2,1,10,2024,2,29,10.0,3000000.0,31412
8055964,1,1,1,10,2024,1,49,5.0,1462000.0,40341
8078874,1,1,1,10,2024,1,39,3.0,1400000.0,49336
8045329,1,2,1,10,2024,2,28,10.0,2400000.0,16958
8041225,1,1,1,10,2024,2,57,3.0,240000.0,7114
8040488,1,1,1,10,2024,1,52,10.0,4000000.0,5352
8080315,1,2,1,10,2024,2,49,10.0,1800000.0,52835
8083668,1,3,1,10,2024,1,30,10.0,1200000.0,59513
8053331,1,6,1,10,2024,1,21,8.0,400000.0,34913
8081230,1,3,1,10,2024,2,22,8.0,1300000.0,54633
8082259,1,1,1,10,2024,2,65,11.0,4000000.0,56362
8078998,1,1,1,10,2024,2,21,5.0,400000.0,49629
8077991,1,1,1,10,2024,1,52,12.0,500000.0,47404
8046316,1,1,1,10,2024,2,24,10.0,2000000.0,19267
8053531,1,1,1,10,2024,1,64,5.0,600000.0,35327
8075635,1,2,1,10,2024,1,30,5.0,1100000.0,41659
8086411,1,1,1,10,2024,1,61,9.0,3000000.0,63629
8041793,1,2,1,10,2024,2,40,5.0,3000000.0,8297
8041022,1,1,1,10,2024,2,30,10.0,1300000.0,6609
8051678,1,1,1,10,2024,2,50,10.0,2200000.0,30752
8078106,1,1,1,10,2024,1,60,5.0,200000.0,47642
8040250,1,2,1,10,2024,1,36,10.0,1400000.0,4775
8052819,1,2,1,10,2024,1,51,3.0,1000000.0,33670
8077694,1,1,1,10,2024,1,52,12.0,2000000.0,46759
8080891,1,1,1,10,2024,1,61,5.0,2500000.0,53959
8042837,1,2,1,10,2024,2,30,10.0,5000000.0,10653
8055974,1,1,1,10,2024,1,28,5.0,1350000.0,40366
8083114,1,2,1,10,2024,2,53,5.0,1300000.0,58369
8049803,1,2,1,10,2024,1,55,3.0,1800000.0,26406
8040534,1,2,1,10,2024,1,61,5.0,1500000.0,5455
8042717,1,1,1,10,2024,1,35,5.0,1500000.0,10396
8053301,1,1,1,10,2024,2,43,5.0,600000.0,34826
8079641,1,2,1,10,2024,2,34,8.0,3000000.0,51109
8051289,1,2,1,10,2024,2,43,5.0,400000.0,29777
8084481,1,1,1,10,2024,2,35,5.0,1600000.0,61268
8039658,1,2,1,10,2024,1,19,5.0,700000.0,3453
8045807,1,2,1,10,2024,2,33,10.0,400000.0,18226
8084959,1,1,1,10,2024,2,38,5.0,1800000.0,62290
8038721,1,1,1,10,2024,1,43,9.0,1250000.0,1317
8044467,1,2,1,10,2024,2,47,5.0,6500000.0,14622
8046920,1,1,1,10,2024,1,44,5.0,5000000.0,20740
8053287,1,1,1,10,2024,1,61,3.0,600000.0,34791
8050535,1,1,1,10,2024,1,34,5.0,1300000.0,28243
8047630,1,2,1,10,2024,2,53,3.0,240000.0,22024
8054554,1,3,1,10,2024,1,20,5.0,800000.0,37508
