directorio,secuencia_p,orden,hogar,regis,per,p3271,p6040,p3042,inglabo,id_registro_original
8435968,1,1,1,10,2025,1,59,4.0,1650000.0,8
8435970,1,4,1,10,2025,1,11,4.0,,13
8435973,1,2,1,10,2025,1,71,5.0,800000.0,17
8435974,1,2,1,10,2025,1,53,1.0,,19
8435975,1,1,1,10,2025,1,70,1.0,,20
8435976,1,2,1,10,2025,2,45,5.0,760000.0,22
8435977,1,2,1,10,2025,1,42,4.0,400000.0,24
8435977,1,3,1,10,2025,2,17,5.0,,25
8435977,1,4,1,10,2025,2,15,5.0,,26
8435978,1,2,1,10,2025,1,28,1.0,500000.0,28
8435978,1,3,1,10,2025,1,17,4.0,,29
8435979,1,2,1,10,2025,2,60,4.0,150000.0,32
8435980,1,6,1,10,2025,2,3,2.0,,40
8435981,1,1,1,10,2025,1,54,10.0,4300000.0,41
8435982,1,1,1,10,2025,1,69,1.0,200000.0,44
8435982,1,2,1,10,2025,2,61,3.0,,45
8435982,1,3,1,10,2025,1,26,1.0,,46
8435982,1,10,1,10,2025,2,16,4.0,,53
8435984,1,3,1,10,2025,2,11,3.0,,60
8435985,1,1,1,10,2025,2,77,3.0,,63
8435989,1,2,1,10,2025,2,21,10.0,,68
8435990,1,1,1,10,2025,1,65,8.0,400000.0,70
8435993,1,2,1,10,2025,2,47,10.0,1600000.0,78
8435994,1,8,1,10,2025,1,1,,,87
8435995,1,1,1,10,2025,2,52,11.0,5000000.0,88
8435996,1,2,1,10,2025,1,16,4.0,,91
8435996,1,5,1,10,2025,1,4,2.0,,94
8435996,1,6,1,10,2025,2,82,1.0,,95
8436000,1,1,1,10,2025,1,67,1.0,,104
8436000,1,4,1,10,2025,1,25,5.0,400000.0,107
8436001,1,3,1,10,2025,1,2,,,111
8436001,1,4,1,10,2025,2,57,3.0,180000.0,112
8436002,1,1,1,10,2025,2,47,7.0,,114
8436004,1,2,1,10,2025,2,55,5.0,600000.0,123
8436004,1,4,1,10,2025,2,20,10.0,,125
8436004,1,8,1,10,2025,2,1,,,129
8436005,1,2,1,10,2025,2,67,1.0,150000.0,132
8436005,1,3,1,10,2025,2,44,1.0,200000.0,133
8436005,1,8,1,10,2025,2,10,3.0,,138
8436006,1,1,1,10,2025,1,55,1.0,500000.0,142
8436006,1,6,1,10,2025,1,22,3.0,,147
8436008,1,2,1,10,2025,2,66,3.0,,155
8436010,1,3,1,10,2025,1,31,5.0,400000.0,161
8436011,1,1,1,10,2025,1,50,3.0,400000.0,162
8436011,1,3,1,10,2025,1,30,5.0,1423500.0,164
8436012,1,1,1,10,2025,2,52,3.0,150000.0,166
8436012,1,2,1,10,2025,1,45,1.0,800000.0,167
8436012,1,4,1,10,2025,1,23,5.0,900000.0,169
8436013,1,4,1,10,2025,1,9,3.0,,173
8436013,1,5,1,10,2025,1,7,3.0,,174
8436014,1,3,1,10,2025,2,11,3.0,,177
8436015,1,2,1,10,2025,2,56,1.0,300000.0,179
8436017,1,1,1,10,2025,2,60,5.0,,187
8436018,1,1,1,10,2025,1,72,10.0,,189
8436019,1,2,1,10,2025,1,43,3.0,450000.0,194
8436020,1,2,1,10,2025,2,43,4.0,300000.0,196
8436020,1,3,1,10,2025,1,14,4.0,,197
8436023,1,1,1,10,2025,2,34,5.0,400000.0,203
8436024,1,1,1,10,2025,2,70,3.0,,205
8436026,1,4,1,10,2025,1,8,3.0,,216
8436026,1,7,1,10,2025,1,10,4.0,,219
8436027,1,1,1,10,2025,1,39,4.0,950000.0,220
8436027,1,4,1,10,2025,1,15,4.0,,223
8436028,1,1,1,10,2025,2,49,4.0,,225
8436029,1,2,1,10,2025,1,43,3.0,500000.0,232
8436031,1,1,1,10,2025,1,53,4.0,450000.0,237
8436032,1,3,1,10,2025,1,7,3.0,,241
8436032,1,4,1,10,2025,1,5,2.0,,242
8436036,1,1,1,10,2025,2,63,8.0,,246
8436038,1,1,1,10,2025,2,56,8.0,2500000.0,248
8436039,1,1,1,10,2025,1,46,10.0,3500000.0,249
8436041,1,2,1,10,2025,1,48,5.0,2500000.0,255
8436044,1,3,1,10,2025,2,16,5.0,,260
8436045,1,1,1,10,2025,1,56,5.0,1423500.0,261
8436049,1,2,1,10,2025,2,69,3.0,,269
8436050,1,1,1,10,2025,2,23,5.0,550000.0,270
8436050,1,2,1,10,2025,2,23,5.0,,271
8436052,1,3,1,10,2025,2,27,5.0,1423500.0,278
8436052,1,5,1,10,2025,1,16,5.0,,280
8436054,1,2,1,10,2025,2,32,5.0,300000.0,283
8436054,1,3,1,10,2025,2,10,3.0,,284
8436055,1,1,1,10,2025,2,70,3.0,,285
8436057,1,2,1,10,2025,2,42,3.0,1423500.0,292
8436058,1,1,1,10,2025,1,22,8.0,1423500.0,294
8436058,1,2,1,10,2025,2,27,5.0,1200000.0,295
8436060,1,2,1,10,2025,2,39,11.0,7000000.0,298
8436061,1,1,1,10,2025,1,29,12.0,13000000.0,299
8436068,1,1,1,10,2025,2,67,3.0,,314
8436068,1,3,1,10,2025,1,37,3.0,,316
8436070,1,3,1,10,2025,1,25,5.0,,326
8436071,1,1,1,10,2025,2,73,3.0,,327
8436072,1,2,1,10,2025,2,66,5.0,,331
8436073,1,1,1,10,2025,1,71,3.0,,332
8436074,1,2,1,10,2025,1,17,6.0,,334
8436075,1,1,1,10,2025,2,72,4.0,,336
8436077,1,1,1,10,2025,2,61,10.0,1423500.0,339
8436079,1,1,1,10,2025,2,52,5.0,,344
8436079,1,2,1,10,2025,1,13,4.0,,345
8436080,1,2,1,10,2025,2,38,5.0,,347
8436082,1,1,1,10,2025,2,25,10.0,,350
8436083,1,2,1,10,2025,1,32,9.0,1500000.0,352
8436087,1,1,1,10,2025,1,72,3.0,,356
8436088,1,1,1,10,2025,2,67,3.0,,358
8436088,1,2,1,10,2025,1,82,3.0,,359
8436089,1,1,1,10,2025,1,36,5.0,1600000.0,360
8436089,1,2,1,10,2025,2,31,5.0,,361
8436090,1,1,1,10,2025,2,26,10.0,,363
8436091,1,4,1,10,2025,1,11,3.0,,367
8436092,1,2,1,10,2025,2,50,3.0,800000.0,369
8436094,1,3,1,10,2025,1,4,2.0,,374
8436095,1,3,1,10,2025,2,9,3.0,,377
8436098,1,1,1,10,2025,1,45,3.0,1423500.0,382
8436098,1,3,1,10,2025,1,24,5.0,2500000.0,384
8436099,1,1,1,10,2025,1,54,3.0,500000.0,386
8436100,1,1,1,10,2025,1,40,5.0,1430000.0,389
8436101,1,1,1,10,2025,1,29,5.0,1423500.0,393
8436101,1,2,1,10,2025,2,18,5.0,,394
8436102,1,2,1,10,2025,2,40,3.0,950000.0,396
8436103,1,2,1,10,2025,1,17,5.0,,400
8436103,1,3,1,10,2025,1,14,4.0,,401
8436106,1,1,1,10,2025,2,41,3.0,600000.0,406
8436106,1,2,1,10,2025,2,14,4.0,,407
8436107,1,1,1,10,2025,2,80,1.0,,408
8436107,1,2,1,10,2025,2,50,1.0,,409
8436109,1,1,1,10,2025,2,76,3.0,,410
8436112,1,1,1,10,2025,1,74,3.0,,415
8436115,1,2,1,10,2025,2,52,3.0,364000.0,422
8436118,1,2,1,10,2025,1,15,5.0,,428
