per,mes,orden,hogar,p3271,p6040,p6050,p6083,p3042,inglabo,rama2d_r4
2025,12,2,1,2,26,2,2,5.0,426000.0,47.0
2025,12,2,1,2,38,2,2,5.0,1555000.0,47.0
2025,12,3,1,2,32,3,1,8.0,1164000.0,92.0
2025,12,2,1,1,33,3,1,4.0,1440000.0,90.0
2025,12,2,1,2,27,2,2,10.0,2561000.0,86.0
2025,12,1,1,2,57,1,3,8.0,1526000.0,47.0
2025,12,1,1,1,43,1,2,5.0,2900000.0,46.0
2025,12,2,1,2,32,2,2,5.0,1181000.0,14.0
2025,12,1,1,2,37,1,2,8.0,645000.0,47.0
2025,12,1,1,1,58,1,2,4.0,1199000.0,53.0
2025,12,3,1,2,41,8,1,12.0,2819000.0,85.0
2025,12,2,1,2,43,2,3,5.0,740000.0,97.0
2025,12,2,1,1,36,2,3,5.0,1865000.0,47.0
2025,12,2,1,1,37,3,1,5.0,2154000.0,45.0
2025,12,4,1,2,29,13,3,8.0,356000.0,10.0
2025,12,3,1,1,38,3,1,3.0,1061000.0,1.0
2025,12,1,1,2,39,1,2,5.0,841000.0,97.0
2025,12,2,1,1,53,6,3,4.0,839000.0,43.0
2025,12,2,1,2,43,2,2,5.0,0.0,47.0
2025,12,2,1,2,24,2,2,5.0,2008000.0,86.0
2025,12,2,1,2,56,2,3,12.0,8947000.0,23.0
2025,12,2,1,2,36,2,2,9.0,1252000.0,13.0
2025,12,2,1,2,30,2,2,12.0,6182000.0,84.0
2025,12,1,1,1,55,1,2,1.0,793000.0,1.0
2025,12,2,1,2,51,2,2,5.0,1637000.0,97.0
2025,12,2,1,2,28,8,2,5.0,433000.0,96.0
2025,12,2,1,2,46,3,1,10.0,1669000.0,84.0
2025,12,2,1,2,47,2,2,10.0,1476000.0,64.0
2025,12,5,1,1,19,4,1,5.0,1179000.0,46.0
2025,12,2,1,1,45,2,2,11.0,5849000.0,86.0
2025,12,2,1,2,56,13,3,5.0,939000.0,56.0
2025,12,2,1,2,47,2,3,5.0,659000.0,95.0
2025,12,2,1,2,42,2,2,10.0,2756000.0,47.0
2025,12,1,1,1,59,1,2,4.0,1008000.0,95.0
2025,12,2,1,2,39,2,2,5.0,1046000.0,49.0
2025,12,1,1,2,37,1,2,11.0,4012000.0,86.0
2025,12,1,1,1,30,1,2,5.0,415000.0,1.0
2025,12,2,1,2,36,2,2,4.0,982000.0,97.0
2025,12,1,1,2,49,1,2,10.0,3189000.0,85.0
2025,12,2,1,2,54,2,2,3.0,100000.0,56.0
2025,12,1,1,1,26,1,2,12.0,5203000.0,10.0
2025,12,3,1,1,22,3,1,5.0,682000.0,10.0
2025,12,1,1,2,45,1,2,10.0,2527000.0,49.0
2025,12,2,1,2,46,2,3,11.0,13696000.0,47.0
2025,12,1,1,1,57,1,3,10.0,7443000.0,51.0
2025,12,1,1,2,69,1,3,5.0,100000.0,81.0
2025,12,2,1,2,45,3,1,9.0,1496000.0,47.0
2025,12,2,1,1,28,2,2,4.0,2517000.0,1.0
2025,12,2,1,2,37,2,2,3.0,399000.0,97.0
2025,12,1,1,2,32,1,2,4.0,554000.0,56.0
2025,12,1,1,2,65,1,3,3.0,1427000.0,97.0
2025,12,1,1,1,60,1,3,10.0,4553000.0,85.0
2025,12,2,1,1,41,2,2,5.0,1649000.0,85.0
2025,12,4,1,2,19,3,1,5.0,1429000.0,96.0
2025,12,4,1,2,28,3,1,5.0,1512000.0,80.0
2025,12,1,1,1,44,1,3,10.0,3011000.0,85.0
2025,12,2,1,2,71,2,3,1.0,2194000.0,56.0
2025,12,2,1,1,47,3,3,5.0,1270000.0,64.0
2025,12,1,1,2,43,1,3,8.0,142000.0,10.0
2025,12,3,1,1,24,3,1,5.0,1462000.0,56.0
2025,12,1,1,2,48,1,2,5.0,1285000.0,47.0
2025,12,2,1,1,26,3,1,6.0,1263000.0,49.0
2025,12,2,1,1,29,2,2,10.0,21714000.0,56.0
2025,12,1,1,2,50,1,2,10.0,1195000.0,10.0
2025,12,1,1,1,53,1,2,5.0,843000.0,49.0
2025,12,1,1,2,32,1,2,5.0,1572000.0,94.0
2025,12,3,1,2,27,3,1,10.0,3368000.0,86.0
2025,12,1,1,2,26,1,3,4.0,1031000.0,56.0
2025,12,1,1,1,41,1,2,5.0,761000.0,1.0
2025,12,2,1,2,68,2,2,1.0,130000.0,13.0
2025,12,1,1,1,27,1,2,3.0,982000.0,1.0
2025,12,2,1,1,22,13,2,5.0,1436000.0,47.0
2025,12,3,1,1,29,3,1,5.0,1598000.0,41.0
2025,12,3,1,2,18,3,1,5.0,0.0,96.0
2025,12,3,1,2,54,3,1,5.0,400000.0,14.0
2025,12,1,1,2,35,1,2,5.0,1060000.0,56.0
2025,12,2,1,2,35,2,2,5.0,107000.0,96.0
2025,12,3,1,1,26,3,1,5.0,1051000.0,56.0
2025,12,2,1,2,35,3,1,5.0,1731000.0,47.0
2025,12,1,1,2,44,1,2,5.0,1120000.0,56.0
2025,12,1,1,1,57,1,2,3.0,1803000.0,49.0
2025,12,2,1,2,29,3,1,10.0,3698000.0,73.0
2025,12,1,1,1,33,1,2,11.0,1566000.0,41.0
2025,12,1,1,1,54,1,2,3.0,1662000.0,47.0
2025,12,2,1,2,28,2,2,5.0,3515000.0,56.0
2025,12,1,1,1,33,1,2,10.0,7327000.0,86.0
2025,12,1,1,2,23,1,3,5.0,1016000.0,85.0
2025,12,3,1,1,52,3,1,5.0,1682000.0,49.0
2025,12,1,1,1,32,1,2,5.0,1605000.0,47.0
2025,12,1,1,2,53,1,2,5.0,1643000.0,56.0
2025,12,1,1,1,59,1,3,3.0,910000.0,1.0
2025,12,1,1,1,59,1,3,3.0,580000.0,43.0
2025,12,1,1,1,37,1,3,8.0,8949000.0,84.0
2025,12,1,1,2,26,1,2,8.0,916000.0,47.0
2025,12,1,1,1,53,1,3,3.0,2145000.0,41.0
2025,12,2,1,2,39,2,2,12.0,3306000.0,70.0
2025,12,3,1,1,35,3,1,6.0,769000.0,49.0
2025,12,1,1,1,74,1,3,11.0,1791000.0,47.0
2025,12,1,1,1,66,1,3,3.0,1965000.0,47.0
2025,12,1,1,2,51,1,2,8.0,0.0,85.0
2025,12,1,1,1,43,1,2,1.0,2495000.0,49.0
2025,12,1,1,1,69,1,3,3.0,1242000.0,45.0
2025,12,1,1,1,58,1,2,4.0,1722000.0,45.0
2025,12,3,1,1,34,3,1,4.0,662000.0,43.0
2025,12,1,1,2,50,1,3,8.0,1363000.0,46.0
2025,12,2,1,1,22,3,1,4.0,1861000.0,96.0
2025,12,3,1,2,57,4,3,4.0,0.0,1.0
